maker,model,variant,region,1000KM,5000KM,10000KM,20000KM,30000KM,40000KM,50000KM,60000KM,70000KM,80000KM,90000KM,100000KM
Honda,BR-V,BR-V 1.5,Nationwide,,,286.33,357.58,421.52,572.88,286.33,510.63,286.33,572.88,421.52,597.96
Honda,CITY,CITY 1.5,Nationwide,,,281.59,352.84,355.03,559.5,281.59,444.14,281.59,559.5,355.03,584.99
Honda,CITY,CITY 1.5 eHEV,Nationwide,,,272.64,335.25,408.75,335.25,272.64,497.86,272.64,335.25,408.75,584.68
Honda,CITY HATCHBACK,CITY HATCHBACK 1.5L,Nationwide,,,281.59,352.84,355.03,559.5,281.59,444.14,281.59,559.5,355.03,584.99
Honda,CITY HATCHBACK,CITY HATCHBACK 1.5L eHEV,Nationwide,,,272.64,335.25,408.75,335.25,272.64,497.86,272.64,335.25,408.75,584.68
Honda,CITY HATCHBACK,CITY HATCHBACK 1.5,Nationwide,,,281.59,352.84,355.03,559.5,281.59,444.14,281.59,559.5,355.03,584.99
Honda,CITY HATCHBACK,CITY HATCHBACK 1.5 HYBRID,Nationwide,,,272.64,335.25,408.75,335.25,272.64,497.86,272.64,335.25,408.75,584.68
Honda,CIVIC,CIVIC 1.5TC,Nationwide,,,271.4,336.19,408.11,580.38,271.4,516.68,271.4,580.38,408.11,697.78
Honda,CIVIC,CIVIC HEV IMMD,Nationwide,,,299.4,366.47,434.36,366.47,299.4,527.93,299.4,366.47,434.36,739.18
Honda,CIVIC,CIVIC HEV I-MMD,Nationwide,,,299.4,366.47,434.36,366.47,299.4,527.93,299.4,366.47,434.36,739.18
Honda,CR-V,CR-V 1.5TC (2WD),Nationwide,,,264.68,328.84,401.39,539.57,264.68,509.33,264.68,539.57,401.39,690.43
Honda,CR-V,CR-V 1.5TC (4WD),Nationwide,,,264.68,440.06,401.39,565.12,264.68,509.33,264.68,565.12,401.39,793.01
Honda,CR-V,CR-V 2.0 (2WD),Nationwide,,,333.68,396.29,557,632.57,333.68,646.11,333.68,632.57,557,660.73
Honda,CR-V,CR-V 2.0 I-MMD,Nationwide,,,299.4,366.47,434.36,366.47,299.4,527.93,299.4,366.47,434.36,739.18
Honda,e:N1,e:N1,Nationwide,,,0,0,0,0,0,0,0,1038.28,0,226.94
Honda,HR-V,HR-V 1.5 HEV,Nationwide,,,272.64,335.25,408.75,335.25,272.64,497.86,272.64,335.25,408.75,584.68
Honda,HR-V,HR-V 1.5NA,Nationwide,,,281.28,343.89,354.72,535.19,281.28,443.83,281.28,535.19,354.72,584.68
Honda,HR-V,HR-V 1.5T,Nationwide,,,269.44,335.23,420.79,578.75,269.44,530.36,269.44,578.75,420.79,696.82
Honda,HR-V,HR-V 1.5 HYBRID,Nationwide,,,264,343.89,418.4,343.89,264,507.51,264,343.89,418.4,642.89
Honda,TYPE R,CIVIC 2.0TC TYPE R,Nationwide,,,349.82,408,567.39,416.64,349.82,669.35,349.82,416.64,567.39,760
Honda,WR-V,WR-V 1.5,Nationwide,,,281.59,352.84,355.03,559.5,281.59,444.14,281.59,559.5,355.03,584.99
Toyota,COROLLA ALTIS,COROLLA ALTIS 1.8G (CVT),Nationwide,198,,347,347,347,598,347,347,347,598,347,347
Toyota,COROLLA ALTIS,COROLLA ALTIS 1.8E (CVT),Nationwide,198,,347,347,347,598,347,347,347,598,347,347
Toyota,COROLLA ALTIS,COROLLA ALTIS 1.6E (Auto),Nationwide,208,,348,348,348,538,348,348,348,538,348,348
Toyota,COROLLA ALTIS,COROLLA ALTIS 1.8E (CVT),Nationwide,208,,348,348,348,538,348,348,348,538,348,348
Toyota,COROLLA ALTIS,COROLLA ALTIS 2.0G (CVT),Nationwide,208,,348,348,348,538,348,348,348,538,348,348
Toyota,COROLLA ALTIS,COROLLA ALTIS 2.0V (CVT),Nationwide,208,,348,348,348,538,348,348,348,538,348,348
Toyota,COROLLA ALTIS,COROLLA ALTIS 1.8E (Auto),Nationwide,198,,347,347,347,558,347,347,347,558,347,347
Toyota,COROLLA ALTIS,COROLLA ALTIS 1.8G (Auto),Nationwide,198,,347,347,347,558,347,347,347,558,347,347
Toyota,COROLLA ALTIS,COROLLA ALTIS (Auto),Nationwide,198,,347,347,347,828,347,347,347,828,347,347
Toyota,VIOS,VIOS 1.5G (Auto),Nationwide,198,,318,318,318,508,318,318,318,508,318,318
Toyota,VIOS,VIOS 1.5E (Auto),Nationwide,198,,318,318,318,508,318,318,318,508,318,318
Toyota,VIOS,VIOS 1.5J TRD Sportivo (Auto),Nationwide,198,,338,338,338,548,338,338,338,548,338,338
Toyota,VIOS,VIOS 1.5E TRD  Sportivo (Auto),Nationwide,198,,338,338,338,548,338,338,338,548,338,338
Toyota,VIOS,VIOS 1.5G TRD  Sportivo (Auto),Nationwide,198,,338,338,338,548,338,338,338,548,338,338
Toyota,VIOS,VIOS 1.5 TRD  Sportivo (Auto),Nationwide,198,,338,338,338,548,338,338,338,548,338,338
Toyota,VIOS,VIOS 1.5S TRD Sportivo (Auto),Nationwide,198,,338,338,338,557,338,338,338,557,338,338
Toyota,VIOS,VIOS 1.5S (Auto),Nationwide,198,,338,338,338,518,338,338,338,518,338,338
Toyota,VIOS,VIOS 1.5GX (Auto),Nationwide,198,,338,338,338,518,338,338,338,518,338,338
Toyota,VIOS,VIOS 1.5J (Auto),Nationwide,198,,338,338,338,518,338,338,338,518,338,338
Toyota,YARIS,YARIS 1.5S (Auto),Nationwide,198,,338,338,338,518,338,338,338,518,338,338
Toyota,YARIS,YARIS 1.5GX (Auto),Nationwide,198,,338,338,338,518,338,338,338,518,338,338
Toyota,YARIS,YARIS 1.5J (Auto),Nationwide,198,,338,338,338,518,338,338,338,518,338,338
Toyota,YARIS,YARIS 1.5G (Auto),Nationwide,198,,338,338,338,518,338,338,338,518,338,338
Toyota,YARIS,YARIS 1.5E (Auto),Nationwide,198,,338,338,338,518,338,338,338,518,338,338
